# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.5.1

111.f9f9bc0a-f478-4567-9bfe-c4c78ae94e69, timespan, 81066D696C6C69730400000000240C8400
draculapoints::d76f634d-fad1-429e-8a6b-7d1a7b9d65b0, string, 800130
draculapoints::f9f9bc0a-f478-4567-9bfe-c4c78ae94e69, string, 80023935
drops::f9f9bc0a-f478-4567-9bfe-c4c78ae94e69, long, 0000000000000000
drops::monzterslayer, long, 0000000000000002
dryadpoints::d76f634d-fad1-429e-8a6b-7d1a7b9d65b0, string, 800130
dryadpoints::f9f9bc0a-f478-4567-9bfe-c4c78ae94e69, string, 800130
exotic::f9f9bc0a-f478-4567-9bfe-c4c78ae94e69, long, 0000000000000000
freeze::<none>, boolean, 01
freeze::f9f9bc0a-f478-4567-9bfe-c4c78ae94e69, boolean, 01
ghastlypoints::f9f9bc0a-f478-4567-9bfe-c4c78ae94e69, string, 800130
goblinchiefpoints::f9f9bc0a-f478-4567-9bfe-c4c78ae94e69, string, 800130
itemfilterbl::monzteryt::1, itemstack, 810576616C756520804676616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538300A2020747970653A20454D4552414C440A
itemfilterbl::monzteryt::2, itemstack, 810576616C756520804776616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538300A2020747970653A204F414B5F424F41540A
itemfilterbl::monzteryt::3, itemstack, 810576616C756520804776616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538300A2020747970653A204F414B5F424F41540A
legendary::f9f9bc0a-f478-4567-9bfe-c4c78ae94e69, long, 0000000000000000
minestatus::monzterslayer, date, 810974696D657374616D700400000175FC800BBB
mordendrop, long, 000000000000000A
mordendrop::1, long, 0000000000000001
mordendrop::<none>, long, 0000000000000002
mordendrop::_looterslist, long, 0000000000000009
mordenpoints::f9f9bc0a-f478-4567-9bfe-c4c78ae94e69, string, 800130
msglist::1, string, 8003686579
msglist::2, string, 80057468657265
msglist::3, string, 800767656E6572616C
msglist::4, string, 80066B656E6F6269
msglists::1, string, 809953455256455220C2A7374A6F696E206F757220C2A739446973636F726420C2A7613C746F6F6C7469703AC2A761436C69636B20746F206A6F696E2074686520446973636F7264213E3C75726C3A68747470733A2F2F646973636F72642E636F6D2F696E766974652F627734447A74523E68747470733A2F2F646973636F72642E636F6D2F696E766974652F627734447A7452C2A772C2A73721
msglists::2, string, 804253455256455220C2A737596F752063616E207669657720616C6C20C2A76151756573747320C2A737627920646F696E67202FC2A76171756573746D656E75C2A73721
msglists::3, string, 806653455256455220C2A737596F75206561726E203120C2A76141747472696275746520506F696E7420C2A7376279206C6576656C696E672075702120446F20C2A7612F4174747269627574657320C2A737746F2075736520C2A737796F757220706F696E74732E
msglists::4, string, 805153455256455220C2A761426F756E7469657320C2A737617265206461696C792071756573747320796F752063616E206765742066726F6D20666F6C6B732061726F756E642074686520C2A737546F776E21
msglists::5, string, 804753455256455220C2A737596F757220C2A7615175657374204A6F75726E616C20C2A7376973206D65616E7420746F20677569646520796F75206F6E206561636820717565737421
msglists::6, string, 805B53455256455220C2A73755736520796F757220C2A7615175657374204D656E7520C2A737746F20747261636B20796F75722071756573742070726F677265737320627920646F696E6720C2A7612F71756573746D656E75C2A73721
msglists::7, string, 804C53455256455220C2A739456E6368616E746564204D6174657269616C7320C2A73763616E20616C6C20626520637261667465642077697468696E2061206372616674696E67207461626C6521
msglists::8, string, 804553455256455220C2A737547261636B20C2A763426F7373657320C2A73761726F756E642074686520776F726C6420696E20796F757220C2A761426F737320446578C2A73721
msglists::9, string, 804153455256455220C2A737596F757220C2A76142616E6B20C2A73763616E20626520657870616E646564207769746820C2A76542616E6B20546F6B656E73C2A73721
msglists::10, string, 804053455256455220C2A7374C6576656C696E672075702050726F66657373696F6E7320616C6C6F7720796F7520746F206372616674206E6577207468696E677321
msglists::11, string, 80AD53455256455220C2A737596F752063616E20646F6E61746520746F20676574206570696320726577617264732066726F6D206F75722053746F72653A20C2A7613C746F6F6C7469703AC2A761436C69636B20746F207669736974207468652053746F7265213E3C75726C3A68747470733A2F2F73746F72652E616476656E747572657363726166742E6E65743E73746F72652E416476656E747572657343726166742E6E6574C2A772C2A73721
msglists::12, string, 807A53455256455220C2A73749742773207265636F6D6D656E64656420746F20706C6179206F6E206174206C6561737420C2A761312E31352E322B20C2A7376173206F6C6465722076657273696F6E7320C2A73777696C6C206265206C65737320636F6D70617469626C652C20627574207374696C6C20776F726B21
msglists::13, string, 806F53455256455220C2A737596F752063616E2067657420616E6F7468657220C2A7615175657374204A6F75726E616C20C2A737617420616E7974696D65206279207573696E6720796F757220C2A7614D656E7520C2A7376F7220747970696E6720C2A7612F4A6F75726E616CC2A73721
msglists::14, string, 802B53455256455220C2A73755736520C2A7612F537061776E20C2A737696620796F7527726520737475636B21
msglists::15, string, 80CC53455256455220C2A73757616E7420736F6D65206672656520C2A739456E6368616E746564204D6174657269616C73C2A7373F20596F752063616E20766F746520666F72206F757220536572766572206F6E20612066657720736974657321203C746F6F6C7469703AC2A736C2A76C434C49434B20544F20564F54453E3C75726C3A68747470733A2F2F7777772E616476656E747572657363726166742E6E65742F77696B692F736974652F766F74652F3EC2A736C2A76C434C49434B20544F20564F5445C2A772C2A73721
msglists::16, string, 806E53455256455220C2A739456E6772616D7320C2A73763616E2062652062726F7567687420746F2074686520C2A76143727970746172636820C2A73761626F76652074686520C2A76157697A61726420C2A737746F2062652064656372797074656420666F72207265776172647321
msglists::17, string, 80B453455256455220C2A73757616E74206D6F726520696E2D646570746820616E6420616363757261746520696E666F726D6174696F6E2061626F757420746865207365727665723F20436865636B6F7574206F7572203C746F6F6C7469703AC2A736C2A76C57494B493E3C75726C3A68747470733A2F2F7777772E616476656E747572657363726166742E6E65742F77696B692F736974652F696E6465782E68746D6C3EC2A736C2A76C57494B49C2A772C2A73721
msglistsjoin::1, string, 800EC2A76546735346534546796F7521
rare::7702843a-b4d8-4f70-8960-fcf9771bd79d, long, 0000000000000000
rare::f9f9bc0a-f478-4567-9bfe-c4c78ae94e69, long, 0000000000000000
reaperpoints::2687bdaf-2787-4507-96a0-525c94976407, string, 802D256265746F6E71756573745F626F737365733A706F696E742E5265617065725265776172642E616D6F756E7425
reaperpoints::d76f634d-fad1-429e-8a6b-7d1a7b9d65b0, string, 800130
reaperpoints::e744be9e-137a-4bb5-b652-4c066d470b59, string, 800132
reaperpoints::f9f9bc0a-f478-4567-9bfe-c4c78ae94e69, string, 800130
resourcecollect::f9f9bc0a-f478-4567-9bfe-c4c78ae94e69::1, itemstack, 810576616C756520804476616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538300A2020747970653A2057484541540A
resourcecollect::f9f9bc0a-f478-4567-9bfe-c4c78ae94e69::2, integer, 00000002
resourcecollect::f9f9bc0a-f478-4567-9bfe-c4c78ae94e69::3, itemstack, 810576616C756520804576616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538300A2020747970653A20434152524F540A
resourcecollect::f9f9bc0a-f478-4567-9bfe-c4c78ae94e69::4, integer, 00000001
resourcecollect::f9f9bc0a-f478-4567-9bfe-c4c78ae94e69::5, itemstack, 810576616C756520804576616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538300A2020747970653A20434152524F540A
resourcecollect::f9f9bc0a-f478-4567-9bfe-c4c78ae94e69::6, itemstack, 810576616C756520804576616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538300A2020747970653A20434152524F540A
resourcecollect::f9f9bc0a-f478-4567-9bfe-c4c78ae94e69::7, itemstack, 810576616C756520804576616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538300A2020747970653A20434152524F540A
resourcecollect::f9f9bc0a-f478-4567-9bfe-c4c78ae94e69::8, itemstack, 810576616C756520804576616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538300A2020747970653A20434152524F540A
resourcecollect::f9f9bc0a-f478-4567-9bfe-c4c78ae94e69::9, itemstack, 810576616C756520804576616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538300A2020747970653A20434152524F540A
resourcecollect::f9f9bc0a-f478-4567-9bfe-c4c78ae94e69::10, itemstack, 810576616C756520804576616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538300A2020747970653A20434152524F540A
resourcecollect::f9f9bc0a-f478-4567-9bfe-c4c78ae94e69::11, itemstack, 810576616C756520804576616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538300A2020747970653A20434152524F540A
resourcecollect::f9f9bc0a-f478-4567-9bfe-c4c78ae94e69::12, itemstack, 810576616C756520804576616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538300A2020747970653A20434152524F540A
resourcecollect::f9f9bc0a-f478-4567-9bfe-c4c78ae94e69::13, itemstack, 810576616C756520804976616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538300A2020747970653A20474F4C445F494E474F540A
resourcecollect::f9f9bc0a-f478-4567-9bfe-c4c78ae94e69::14, integer, 00000002
resourcecollect::f9f9bc0a-f478-4567-9bfe-c4c78ae94e69::15, integer, 00000002
resourcecollect::f9f9bc0a-f478-4567-9bfe-c4c78ae94e69::16, integer, 00000001
rewardcd::2eceb1f3-d68c-4fa7-b861-a19c41bc4874, date, 810974696D657374616D70040000017629E82EE6
rewardcd::03c15276-ecfe-49bf-b20c-c4c20b13cb87, date, 810974696D657374616D7004000001766563DCB0
rewardcd::4cf09405-1a3e-45d6-ae67-c774aee9b3e2, date, 810974696D657374616D7004000001764538F98C
rewardcd::6ebeb42a-73ed-40c9-bee9-b559be60dcf7, date, 810974696D657374616D70040000017625F2E8AD
rewardcd::07c977b5-7456-4158-b942-e102821c02ae, date, 810974696D657374616D70040000017609B85EBD
rewardcd::8b759ce2-9e6b-4845-a464-db9bd585b5fe, date, 810974696D657374616D7004000001763B5FE7EC
rewardcd::21c45905-5022-4a6a-b5b9-2c19c9fa59ef, date, 810974696D657374616D70040000017620964213
rewardcd::32c9c9fc-bba6-41f6-8f1a-96042dacb758, date, 810974696D657374616D7004000001763A20AB2D
rewardcd::83d83622-bf85-4840-b0cc-faddb353a5b1, date, 810974696D657374616D7004000001764E9EF7B4
rewardcd::89bf653b-341c-4576-96d9-3815bce9f2e4, date, 810974696D657374616D70040000017608F52221
rewardcd::0347b9f2-5457-4b71-809e-26324292618b, date, 810974696D657374616D7004000001763492A2E0
rewardcd::446ad7e1-4786-4445-a447-3611a99f599a, date, 810974696D657374616D700400000176105C5D2F
rewardcd::472f4060-ffff-4689-9d88-206bddf0b46a, date, 810974696D657374616D70040000017608734182
rewardcd::963da174-5c5c-40b5-8bf0-141034bbaca0, date, 810974696D657374616D7004000001760E9B43AD
rewardcd::50749497-16b9-40fc-8fc9-53ab8dba211f, date, 810974696D657374616D70040000017603B394AC
rewardcd::a8733f1e-9e7e-4e65-a541-7a6c6b4cff80, date, 810974696D657374616D70040000017645D4344B
rewardcd::c270dff3-24f4-4fc6-939f-4d5ed18eb4a4, date, 810974696D657374616D7004000001761FC3B16C
rewardcd::d76f634d-fad1-429e-8a6b-7d1a7b9d65b0, date, 810974696D657374616D7004000001766BF81FB9
rewardcd::de11ca2a-8350-4651-830e-85d6e3eda538, date, 810974696D657374616D70040000017664FBB548
rewardcd::f9f9bc0a-f478-4567-9bfe-c4c78ae94e69, date, 810974696D657374616D7004000001766B8AE0E6
rewardcd::fa984541-8585-4aff-a545-f10879bd66c4, date, 810974696D657374616D70040000017615282987
rewardcd.f9f9bc0a-f478-4567-9bfe-c4c78ae94e69, date, 810974696D657374616D700400000175F4781F8D
tabcompletions::1, string, 8013686F6D65207669736974203C706C617965723E
tabcompletions::2, string, 8013686F6D652068656C70203C313E3C323E3C333E
tabcompletions::3, string, 8009686F6D652063686174
tabcompletions::4, string, 800B686F6D652064656C657465
tabcompletions::5, string, 8012686F6D65206B69636B203C706C617965723E
tabcompletions::6, string, 8011686F6D652062616E203C706C617965723E
tabcompletions::7, string, 8013686F6D6520756E62616E203C706C617965723E
tabcompletions::8, string, 8008686F6D6520736574
tabcompletions::9, string, 8016686F6D65207365746F776E6572203C706C617965723E
tabcompletions::10, string, 8011686F6D6520616464203C706C617965723E
tabcompletions::11, string, 8013686F6D6520756E616464203C706C617965723E
tabcompletions::12, string, 8013686F6D65207472757374203C706C617965723E
tabcompletions::13, string, 8015686F6D6520756E7472757374203C706C617965723E
tabcompletions::14, string, 800A6D757369632073746F70
tabcompletions::15, string, 80096D75736963206F6666
tabcompletions::16, string, 800A6D7573696320706C6179
tabcompletions::17, string, 800B6D75736963207374617274
tabcompletions::18, string, 80086D75736963206F6E
tabcompletions::19, string, 80146D7573696320766F6C756D65203C312D3130303E
tabcompletions::20, string, 8009727020656E61626C65
tabcompletions::21, string, 800A72702064697361626C65
tabcompletions::22, string, 800B727020646F776E6C6F6164
tabcompletions::23, string, 800A5761727020537061776E
tabcompletions::24, string, 80095761727020546F776E
tabcompletions::25, string, 800B5761727020466F72657374
tabcompletions::26, string, 80115761727020537072756365466F72657374
tabcompletions::27, string, 801257617270204461726B4F616B466F72657374
tabcompletions::28, string, 801057617270204269726368466F72657374
tabcompletions::29, string, 80115761727020416361636961466F72657374
tabcompletions::30, string, 801157617270204A756E676C65466F72657374
tabcompletions::31, string, 800F576172702048697665466F72657374
tabcompletions::32, string, 801157617270204D696E65456E7472616E6365
tabcompletions::33, string, 800D57617270204D696E65436F616C
tabcompletions::34, string, 800D57617270204D696E65476F6C64
tabcompletions::35, string, 801157617270204D696E6552656473746F6E65
tabcompletions::36, string, 800E57617270204D696E654C61706973
tabcompletions::37, string, 801057617270204D696E654469616D6F6E64
tabcompletions::38, string, 801057617270204D696E65456D6572616C64
tabcompletions::39, string, 800E5761727020477261766579617264
tabcompletions::40, string, 800E5761727020436F75727479617264
tabcompletions::41, string, 800B5761727020436173746C65
tabcompletions::42, string, 8009576172702048656C6C
tabcompletions::43, string, 800A576172702048656C6C32
tabcompletions::44, string, 800B5761727020457374617465
tabcompletions::45, string, 800957617270204661726D
tabcompletions::46, string, 800F5761727020476F626C696E546F776E
tabcompletions::47, string, 8012576172702053706972697447726F756E6473
tabcompletions::48, string, 800D5761727020546F776E48616C6C
tabcompletions::49, string, 800C73686F70206661726D696E67
tabcompletions::50, string, 800D73686F7020666F726167696E67
tabcompletions::51, string, 800B73686F70206D696E696E67
tabcompletions::52, string, 800B73686F7020736C61796572
tabcompletions::53, string, 800C73686F7020636F6F6B696E67
tabcompletions::54, string, 800973686F702077616E64
tabcompletions::55, string, 800973686F702068656C6C
tabcompletions::56, string, 800E73686F7020656E6368616E746564
tabcompletions::57, string, 801850726F66696C65566965776572205B3C706C617965723E5D
tabcompletions::58, string, 800D7076205B3C706C617965723E5D
tabcompletions::59, string, 80027076
tabcompletions::60, string, 800B57617270204D6F7264656E
tabcompletions::61, string, 8007626F7373646578
tabcompletions::62, string, 8006626F73736573
tabcompletions::63, string, 8004626F7373
treecutter.f9f9bc0a-f478-4567-9bfe-c4c78ae94e69, boolean, 01
tutorial::<none>, boolean, 01
uncommon::f9f9bc0a-f478-4567-9bfe-c4c78ae94e69, long, 0000000000000000
voidmagmapoints::f9f9bc0a-f478-4567-9bfe-c4c78ae94e69, string, 80023739
voidwitherpoints::f9f9bc0a-f478-4567-9bfe-c4c78ae94e69, string, 800130
vote::f9f9bc0a-f478-4567-9bfe-c4c78ae94e69, date, 810974696D657374616D700400000175FC8D76B1
vote_minestatus::f9f9bc0a-f478-4567-9bfe-c4c78ae94e69, date, 810974696D657374616D700400000176023D2359
vote_minestatustest::f9f9bc0a-f478-4567-9bfe-c4c78ae94e69, date, 810974696D657374616D70040000017666025DBF
votecd::cd, date, 810974696D657374616D700400000175FA2358FF
votecd::f9f9bc0a-f478-4567-9bfe-c4c78ae94e69, date, 810974696D657374616D700400000175FA1A28D8
votecd::monzterslayerk, date, 810974696D657374616D700400000175FA258DA5
waited, timespan, 81066D696C6C6973040000000005258C2F
wheat::f9f9bc0a-f478-4567-9bfe-c4c78ae94e69, long, 000000000000000B

